,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
129,030103033212321,0010001110111101,1,8.0,5.0,0.328125,-4.9,9,82,032303221210121,1
130,032303010101223,0010010000100101,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
131,032303301101123,0010010000101001,3,8.0,5.0,0.375,-4.7,5,18,032212210010301,2
132,032303301101123,0010010000101011,3,8.0,5.0,0.375,-4.7,6,18,032212210010301,2
133,032303301111033,0010010000110001,2,8.0,4.0,0.328125,-3.8,5,8,003222230030103,2
134,032303001210121,0010010000110010,1,8.0,4.0,0.328125,-3.9,5,152,030103011212321,1
135,032303301111033,0010010000110011,2,8.0,5.0,0.328125,-4.8,6,8,003222230030103,2
136,032303001210121,0010010000110110,1,8.0,4.0,0.328125,-3.9,6,152,030103011212321,1
137,032303301111033,0010010000110111,2,8.0,5.0,0.328125,-4.8,7,8,003222230030103,2
138,032303001210121,0010010000111010,1,8.0,4.0,0.328125,-3.9,6,152,030103011212321,1
139,032303301111033,0010010000111011,2,8.0,5.0,0.328125,-4.8,7,8,003222230030103,2
140,032303010101223,0010010001100101,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
141,032303301101123,0010010001101001,3,8.0,5.0,0.375,-4.7,6,18,032212210010301,2
142,032303301101123,0010010001101011,3,8.0,5.0,0.375,-4.7,7,18,032212210010301,2
143,032303301111033,0010010001110001,2,8.0,4.0,0.328125,-3.8,6,8,003222230030103,2
144,032303001211030,0010010001110010,2,8.0,5.0,0.328125,-4.8,6,11,030112100303230,2
145,032303001210121,0010010001111010,1,8.0,5.0,0.328125,-4.9,7,152,030103011212321,1
146,032303010101223,0010010010000001,0,8.0,4.0,0.390625,-4.0,4,601,033212121010301,1
147,032303010101223,0010010010000011,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
148,032303010101223,0010010010000101,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
149,032303010101223,0010010010000111,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
150,032303010012123,0010010010001001,1,8.0,5.0,0.375,-4.9,5,105,032321121010301,1
151,032303010012123,0010010010001011,1,8.0,5.0,0.375,-4.9,6,105,032321121010301,1
152,032303010012123,0010010010001101,1,8.0,5.0,0.375,-4.9,6,105,032321121010301,1
153,032303010012123,0010010010001111,1,8.0,5.0,0.375,-4.9,7,105,032321121010301,1
154,032303010121012,0010010010011001,0,8.0,5.0,0.296875,-5.0,6,130,032303232121012,0
155,032303010121012,0010010010011011,0,8.0,5.0,0.296875,-5.0,7,130,032303232121012,0
156,032303010121012,0010010010011101,0,8.0,5.0,0.296875,-5.0,7,130,032303232121012,0
157,032303010121012,0010010010011111,0,8.0,5.0,0.296875,-5.0,8,130,032303232121012,0
158,032303010101223,0010010010100001,0,8.0,5.0,0.390625,-5.0,5,601,033212121010301,1
159,032303010101223,0010010010100011,0,8.0,5.0,0.390625,-5.0,6,601,033212121010301,1
160,032303010101223,0010010010100101,0,8.0,6.0,0.390625,-6.0,6,601,033212121010301,1
161,032303010101223,0010010010100111,0,8.0,6.0,0.390625,-6.0,7,601,033212121010301,1
162,032303010101223,0010010010101001,0,8.0,5.0,0.390625,-5.0,6,601,033212121010301,1
163,032303010101223,0010010010101011,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
164,032303010101223,0010010010101101,0,8.0,6.0,0.390625,-6.0,7,601,033212121010301,1
165,032303010101223,0010010010101111,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
166,032303010111233,0010010010110011,1,8.0,6.0,0.390625,-5.9,7,32,003222121010301,2
167,032303010121103,0010010010111001,1,8.0,6.0,0.3125,-5.9,7,31,032212323030103,1
168,032303010101223,0010010011000001,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
169,032303010101223,0010010011000101,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
170,032303010101223,0010010011100001,0,8.0,5.0,0.390625,-5.0,6,601,033212121010301,1
171,032303010101223,0010010011100011,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
172,032303010101223,0010010011100101,0,8.0,6.0,0.390625,-6.0,7,601,033212121010301,1
173,032303010101223,0010010011100111,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
174,032303010101223,0010010011101101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
175,032303010101223,0010010011101111,0,8.0,6.0,0.390625,-6.0,9,601,033212121010301,1
176,032303010111233,0010010011110011,1,8.0,6.0,0.390625,-5.9,8,32,003222121010301,2
177,032300001211233,0010010100100001,2,8.0,4.0,0.40625,-3.8,5,22,003223211110301,3
178,032303001210121,0010010100110010,1,8.0,5.0,0.328125,-4.9,6,152,030103011212321,1
179,032300001211233,0010010101100001,2,8.0,4.0,0.40625,-3.8,6,22,003223211110301,3
180,032303001211030,0010010101110010,2,8.0,6.0,0.328125,-5.8,7,11,030112100303230,2
181,032303001211030,0010010101110011,2,8.0,6.0,0.328125,-5.8,8,11,030112100303230,2
182,032303001211030,0010010101110110,2,8.0,6.0,0.328125,-5.8,8,11,030112100303230,2
183,032303001210121,0010010101111010,1,8.0,6.0,0.328125,-5.9,8,152,030103011212321,1
184,032303010101223,0010010110000001,0,8.0,4.0,0.390625,-4.0,5,601,033212121010301,1
185,032303010101223,0010010110000101,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
186,032303010012123,0010010110001001,1,8.0,5.0,0.375,-4.9,6,105,032321121010301,1
187,032303010012123,0010010110001101,1,8.0,5.0,0.375,-4.9,7,105,032321121010301,1
188,032303010121012,0010010110011001,0,8.0,5.0,0.296875,-5.0,7,130,032303232121012,0
189,032303010121012,0010010110011101,0,8.0,5.0,0.296875,-5.0,8,130,032303232121012,0
190,032303010101223,0010010110100001,0,8.0,5.0,0.390625,-5.0,6,601,033212121010301,1
191,032303010101223,0010010110100101,0,8.0,6.0,0.390625,-6.0,7,601,033212121010301,1
192,032303010101223,0010010110101001,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
193,032303010101223,0010010110101101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
