,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
5187,032303232121011,1011100110100111,0,8.0,7.0,0.390625,-7.0,10,117,003010121232123,1
5188,032303232121103,1011100110101011,1,8.0,7.0,0.328125,-6.0,10,12,032212101030103,1
5189,032303232121011,1011100110110111,0,8.0,7.0,0.390625,-7.0,11,117,003010121232123,1
5190,030303221212110,1011100111010101,1,7.0,7.0,0.5625,-6.0,10,10,033232322101010,2
5191,032303222101210,1011100111011001,1,9.0,7.0,0.3402777777777778,-6.0,10,8,032303222101210,1
5192,032303232121011,1011100111100111,0,8.0,7.0,0.390625,-7.0,11,117,003010121232123,1
5193,032322101210103,1011100111101001,1,8.0,7.0,0.34375,-6.0,10,84,032321232110103,1
5194,032321232300001,1011101000000101,0,8.0,5.0,0.40625,-5.0,7,46,033332121012123,1
5195,032321232300001,1011101000000111,0,8.0,5.0,0.40625,-5.0,8,46,033332121012123,1
5196,032321210101030,1011101000010010,0,7.0,4.0,0.4017857142857143,-4.0,7,855,030101012123230,0
5197,032321212101033,1011101000010011,0,7.0,5.0,0.38392857142857145,-5.0,8,362,003232121210103,1
5198,032321210101030,1011101000011010,0,7.0,4.0,0.4017857142857143,-4.0,8,855,030101012123230,0
5199,032321212101033,1011101000011011,0,7.0,5.0,0.38392857142857145,-5.0,9,362,003232121210103,1
5200,032321210101030,1011101000110010,0,7.0,4.0,0.4017857142857143,-4.0,8,855,030101012123230,0
5201,030103032222210,1011101000111001,1,8.0,6.0,0.4375,-5.0,9,7,032222210103010,1
5202,032321210101030,1011101000111010,0,7.0,4.0,0.4017857142857143,-4.0,9,855,030101012123230,0
5203,032321210121003,1011101001000001,0,8.0,5.0,0.34375,-5.0,7,287,033212321210103,1
5204,032321210121003,1011101001000011,0,8.0,5.0,0.34375,-5.0,8,287,033212321210103,1
5205,030103032321221,1011101001001101,0,8.0,7.0,0.46875,-7.0,9,415,033032321210121,1
5206,030103032321221,1011101001001111,0,8.0,7.0,0.46875,-7.0,10,415,033032321210121,1
5207,032321210101030,1011101001010010,0,7.0,6.0,0.4017857142857143,-6.0,8,855,030101012123230,0
5208,032321210101030,1011101001010110,0,7.0,6.0,0.4017857142857143,-6.0,9,855,030101012123230,0
5209,032321210101030,1011101001011010,0,7.0,6.0,0.4017857142857143,-6.0,9,855,030101012123230,0
5210,030103032321221,1011101001011101,0,8.0,7.0,0.46875,-7.0,10,415,033032321210121,1
5211,032321210121003,1011101001100001,0,8.0,6.0,0.34375,-6.0,8,287,033212321210103,1
5212,032321210121003,1011101001100011,0,8.0,6.0,0.34375,-6.0,9,287,033212321210103,1
5213,032321210121003,1011101001100101,0,8.0,7.0,0.34375,-7.0,9,287,033212321210103,1
5214,032321210121003,1011101001100111,0,8.0,7.0,0.34375,-7.0,10,287,033212321210103,1
5215,032321210101030,1011101001110010,0,7.0,6.0,0.4017857142857143,-6.0,9,855,030101012123230,0
5216,032321210101030,1011101001111010,0,7.0,6.0,0.4017857142857143,-6.0,10,855,030101012123230,0
5217,032321212101033,1011101010000001,0,7.0,5.0,0.38392857142857145,-5.0,7,362,003232121210103,1
5218,032321212101033,1011101010000011,0,7.0,5.0,0.38392857142857145,-5.0,8,362,003232121210103,1
5219,032321212101033,1011101010001001,0,7.0,5.0,0.38392857142857145,-5.0,8,362,003232121210103,1
5220,032321212101033,1011101010001011,0,7.0,5.0,0.38392857142857145,-5.0,9,362,003232121210103,1
5221,032321212101033,1011101010010001,0,7.0,6.0,0.38392857142857145,-6.0,8,362,003232121210103,1
5222,032321212101033,1011101010010011,0,7.0,7.0,0.38392857142857145,-7.0,9,362,003232121210103,1
5223,032321212101033,1011101010010111,0,7.0,7.0,0.38392857142857145,-7.0,10,362,003232121210103,1
5224,032321212101033,1011101010011001,0,7.0,6.0,0.38392857142857145,-6.0,9,362,003232121210103,1
5225,032321212101033,1011101010011011,0,7.0,7.0,0.38392857142857145,-7.0,10,362,003232121210103,1
5226,032321212101033,1011101010011111,0,7.0,7.0,0.38392857142857145,-7.0,11,362,003232121210103,1
